,id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,year,updated_on,x_coordinate,y_coordinate,latitude,longitude,location
3929,12857440,JF432349,2022-10-12T20:15:00.000,002XX W 115TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,0522,005,34,53,08B,2022,2022-10-24T16:47:03.000,,,,,
3930,12857576,JF432382,2022-10-12T20:16:00.000,011XX W VAN BUREN ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,GAS STATION,False,False,1232,012,25,28,07,2022,2022-10-24T16:47:03.000,,,,,
3931,12858297,JF432409,2022-10-12T20:20:00.000,071XX W ARCHER AVE,0560,ASSAULT,SIMPLE,DRUG STORE,False,False,0811,008,23,56,08A,2022,2022-10-24T16:47:03.000,,,,,
3932,12859029,JF434329,2022-10-12T20:30:00.000,052XX S ST LOUIS AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,0822,008,14,63,08B,2022,2022-10-24T16:47:03.000,,,,,
3933,12857446,JF432377,2022-10-12T20:30:00.000,003XX W 64TH ST,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,HOSPITAL BUILDING / GROUNDS,True,False,0722,007,20,68,18,2022,2022-10-24T16:47:03.000,,,,,
3934,12857556,JF432395,2022-10-12T20:34:00.000,076XX S HALSTED ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,GAS STATION,True,False,0621,006,17,71,15,2022,2022-10-24T16:47:03.000,,,,,
3935,12858119,JF433165,2022-10-12T20:35:00.000,031XX N MONTICELLO AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,2523,025,30,21,14,2022,2022-10-24T16:47:03.000,,,,,
3936,12857485,JF432361,2022-10-12T20:37:00.000,056XX S PERRY AVE,0320,ROBBERY,STRONG ARM - NO WEAPON,RESIDENCE - YARD (FRONT / BACK),False,False,0225,002,3,40,03,2022,2022-10-24T16:47:03.000,,,,,
3937,12858328,JF433433,2022-10-12T20:40:00.000,005XX N MONTICELLO AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1122,011,27,23,14,2022,2022-10-24T16:47:03.000,,,,,
3938,12857498,JF432412,2022-10-12T20:40:00.000,006XX W HARRISON ST,0870,THEFT,POCKET-PICKING,OTHER (SPECIFY),False,False,0124,001,25,28,06,2022,2022-10-24T16:47:03.000,,,,,
3939,12857691,JF432498,2022-10-12T20:40:00.000,099XX S YATES AVE,0560,ASSAULT,SIMPLE,RESIDENCE - YARD (FRONT / BACK),False,False,0431,004,7,51,08A,2022,2022-10-24T16:47:03.000,,,,,
3940,12857515,JF432416,2022-10-12T20:45:00.000,070XX S ARTESIAN AVE,0650,BURGLARY,HOME INVASION,RESIDENCE,False,False,0832,008,17,66,05,2022,2022-10-24T16:47:03.000,,,,,
3941,12857503,JF432398,2022-10-12T20:45:00.000,011XX E 45TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,RESIDENCE,False,False,0222,002,4,39,14,2022,2022-10-24T16:47:03.000,,,,,
3942,12857462,JF432379,2022-10-12T20:45:00.000,077XX S JEFFERY BLVD,0560,ASSAULT,SIMPLE,APARTMENT,False,False,0414,004,8,43,08A,2022,2022-10-24T16:47:03.000,,,,,
3943,12857536,JF432415,2022-10-12T20:45:00.000,008XX W AGATITE AVE,2860,PUBLIC PEACE VIOLATION,FALSE POLICE REPORT,APARTMENT,False,False,1914,019,46,3,24,2022,2022-10-24T16:47:03.000,,,,,
3944,12857531,JF432446,2022-10-12T20:45:00.000,0000X W HUBBARD ST,2250,LIQUOR LAW VIOLATION,LIQUOR LICENSE VIOLATION,BAR OR TAVERN,True,False,1831,018,42,8,22,2022,2022-10-24T16:47:03.000,,,,,
3945,12857549,JF432376,2022-10-12T20:50:00.000,029XX N HALSTED ST,0810,THEFT,OVER $500,STREET,False,False,1934,019,44,6,06,2022,2022-10-24T16:47:03.000,,,,,
3946,12857513,JF432387,2022-10-12T20:50:00.000,048XX W HADDON AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,1531,015,37,25,07,2022,2022-10-24T16:47:03.000,,,,,
3947,12858562,JF433710,2022-10-12T20:56:00.000,012XX S INDIANA AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,DRIVEWAY - RESIDENTIAL,False,False,0132,001,3,33,07,2022,2022-10-24T16:47:03.000,,,,,
3948,12857508,JF432388,2022-10-12T20:57:00.000,038XX S ARCHER AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,STREET,False,False,0911,009,12,58,04A,2022,2022-10-24T16:47:03.000,,,,,
3949,12857488,JF432386,2022-10-12T20:58:00.000,012XX W GRAND AVE,0810,THEFT,OVER $500,RESTAURANT,False,False,1215,012,27,24,06,2022,2022-10-22T16:45:58.000,1168183,1903622,41.891075814,-87.657795772,"{'latitude': '41.891075814', 'longitude': '-87.657795772', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3950,12857521,JF432394,2022-10-12T21:00:00.000,021XX E 71ST ST,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,STREET,False,False,0333,003,5,43,15,2022,2022-10-24T16:47:03.000,,,,,
3951,12858190,JF433255,2022-10-12T21:00:00.000,0000X W KINZIE ST,0810,THEFT,OVER $500,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,1831,018,42,8,06,2022,2022-10-24T16:47:03.000,,,,,
3952,12862812,JF432433,2022-10-12T21:00:00.000,024XX W PERSHING RD,0495,BATTERY,AGGRAVATED OF A SENIOR CITIZEN,ALLEY,False,False,0921,009,12,58,04B,2022,2022-10-24T16:47:03.000,,,,,
3953,12857554,JF432418,2022-10-12T21:00:00.000,011XX S STATE ST,051A,ASSAULT,AGGRAVATED - HANDGUN,CTA PLATFORM,False,False,0123,001,4,32,04A,2022,2022-10-24T16:47:03.000,,,,,
3954,12857932,JF432973,2022-10-12T21:00:00.000,074XX S CHAPPEL AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,0333,003,5,43,14,2022,2022-10-24T16:47:03.000,,,,,
3955,12858401,JF433142,2022-10-12T21:00:00.000,041XX N RIDGEWAY AVE,1156,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,RESIDENCE,False,False,1723,017,35,16,11,2022,2022-10-24T16:47:03.000,,,,,
3956,12857560,JF432422,2022-10-12T21:00:00.000,045XX W JACKSON BLVD,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,False,1113,011,28,26,08A,2022,2022-10-24T16:47:03.000,,,,,
3957,12857530,JF432442,2022-10-12T21:00:00.000,029XX S ARCHER AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,VEHICLE NON-COMMERCIAL,False,False,0913,009,11,60,14,2022,2022-10-24T16:47:03.000,,,,,
3958,12857779,JF432702,2022-10-12T21:00:00.000,036XX W ARTHINGTON ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,DRIVEWAY - RESIDENTIAL,False,False,1133,011,24,27,07,2022,2022-10-24T16:47:03.000,,,,,
3959,12857778,JF432665,2022-10-12T21:00:00.000,022XX W WARREN BLVD,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,1223,012,27,28,07,2022,2022-10-24T16:47:03.000,,,,,
3960,12857461,JF432400,2022-10-12T21:00:00.000,036XX N RECREATION DR,0850,THEFT,ATTEMPT THEFT,PARK PROPERTY,False,False,1925,019,46,6,06,2022,2022-10-24T16:47:03.000,,,,,
3961,12857786,JF432748,2022-10-12T21:00:00.000,049XX W MONROE ST,0920,MOTOR VEHICLE THEFT,ATTEMPT - AUTOMOBILE,STREET,False,False,1533,015,28,25,07,2022,2022-10-24T16:47:03.000,,,,,
3962,12857882,JF432871,2022-10-12T21:00:00.000,044XX N BERNARD ST,0810,THEFT,OVER $500,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,1723,017,35,14,06,2022,2022-10-24T16:47:03.000,,,,,
3963,12857875,JF432875,2022-10-12T21:00:00.000,025XX E 79TH ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,0422,004,7,46,07,2022,2022-10-24T16:47:03.000,,,,,
3964,12858021,JF433044,2022-10-12T21:00:00.000,051XX S KEATING AVE,0810,THEFT,OVER $500,STREET,False,False,0815,008,14,56,06,2022,2022-10-24T16:47:03.000,,,,,
3965,12864350,JF440476,2022-10-12T21:00:00.000,092XX S KIMBARK AVE,0820,THEFT,$500 AND UNDER,APARTMENT,False,False,0413,004,8,47,06,2022,2022-10-24T16:47:03.000,,,,,
3966,12857472,JF432397,2022-10-12T21:01:00.000,032XX S LEAVITT ST,051A,ASSAULT,AGGRAVATED - HANDGUN,SIDEWALK,False,False,0912,009,25,59,04A,2022,2022-10-24T16:47:03.000,,,,,
3967,12857527,JF432417,2022-10-12T21:05:00.000,048XX S HONORE ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,0931,009,15,61,08B,2022,2022-10-24T16:47:03.000,,,,,
3968,12857501,JF432402,2022-10-12T21:08:00.000,063XX S MARSHFIELD AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,True,0725,007,16,67,14,2022,2022-10-24T16:47:03.000,,,,,
3969,12858188,JF432428,2022-10-12T21:09:00.000,067XX S JEFFERY BLVD,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,STREET,False,False,0332,003,5,43,04B,2022,2022-10-24T16:47:03.000,,,,,
3970,12857557,JF432396,2022-10-12T21:10:00.000,008XX W ADDISON ST,0810,THEFT,OVER $500,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,1923,019,44,6,06,2022,2022-10-24T16:47:03.000,,,,,
3971,12857595,JF432413,2022-10-12T21:15:00.000,037XX W IOWA ST,0560,ASSAULT,SIMPLE,SIDEWALK,False,True,1112,011,27,23,08A,2022,2022-10-24T16:47:03.000,,,,,
3972,12867099,JF443768,2022-10-12T21:17:00.000,060XX S FAIRFIELD AVE,2900,WEAPONS VIOLATION,UNLAWFUL USE / SALE OF AIR RIFLE,ALLEY,True,False,0825,008,16,66,15,2022,2022-10-23T16:44:21.000,,,,,
3973,12857577,JF432427,2022-10-12T21:20:00.000,016XX S KARLOV AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,1012,010,24,29,08B,2022,2022-10-24T16:47:03.000,,,,,
